make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,make_encoded,model_encoded,manufactured_encoded,reg_date_encoded,type_of_vehicle_encoded,category_encoded
mercedes-benz,a180,2018.0,2019,hatchback,"parf car, premium ad car, low mileage car",0,1365.0,100.0,1332.0,2.0,17850.0,41000,586.0,39873.0,52438.0,26411.0,28976.0,99800.0,1,154,0,8,6,6
honda,vezel,2023.0,2023,suv,Other,0,1250.0,87.0,1496.0,1.0,16460.0,85001,682.0,71751.0,3500.0,18190.0,5000.0,155000.0,2,55,17,11,0,23
mercedes-benz,b180,2018.0,2018,hatchback,"parf car, premium ad car",0,1425.0,90.0,1595.0,2.0,17700.0,37000,740.0,28188.0,76000.0,26405.0,18967.0,80800.0,1,110,0,0,6,1
volkswagen,golf,2016.0,2017,sports car,"parf car, premium ad car, low mileage car",0,1420.0,206.0,1984.0,3.0,28150.0,53001,1194.0,42757.0,66488.0,40089.0,48125.0,97800.0,11,20,8,1,4,6
honda,shuttle,2018.0,2018,stationwagon,parf car,0,1130.0,97.0,1496.0,2.0,13990.0,38001,682.0,20493.0,106000.0,19311.0,9311.0,57800.0,2,28,0,0,7,0
mercedes-benz,Other,2015.0,2015,luxury sedan,"parf car, premium ad car, low mileage car",0,1480.0,155.0,1991.0,3.0,24670.0,60001,1202.0,36761.0,76000.0,41948.0,50728.0,61800.0,1,17,10,10,1,6
mercedes-benz,c180,2015.0,2015,luxury sedan,"parf car, premium ad car",0,1425.0,115.0,1595.0,2.0,20000.0,60789,740.0,26922.0,126000.0,35294.0,36412.0,40888.0,1,8,10,10,1,1
peugeot,308,2017.0,2017,hatchback,Other,0,1150.0,96.0,1199.0,1.0,11190.0,29791,70.0,18392.0,38000.0,21713.0,12399.0,45000.0,23,192,1,1,6,23
mercedes-benz,e200,2008.0,2009,luxury sedan,"coe car, premium ad car",0,1540.0,135.0,1796.0,6.0,11440.0,35411,1461.0,16716.0,115412.0,52983.0,52983.0,54000.0,1,11,3,6,1,3
mercedes-benz,a180,2020.0,2024,hatchback,Other,0,1365.0,100.0,1332.0,1.0,17570.0,85010,586.0,106772.0,300.0,26684.0,29358.0,189800.0,1,154,9,18,6,23
mitsubishi,attrage,2018.0,2018,mid-sized sedan,"parf car, premium ad car",0,940.0,59.0,1193.0,1.0,11870.0,28000,506.0,15559.0,78500.0,13581.0,5000.0,53638.0,6,70,0,0,3,1
tesla,model,2020.0,2021,luxury sedan,"parf car, electric cars",0,1684.0,239.0,2135.0,2.0,20110.0,45012,3226.0,55119.0,59799.0,59543.0,34178.0,148800.0,26,65,9,16,1,17
mercedes-benz,e200,2015.0,2015,luxury sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1655.0,135.0,1991.0,1.0,19930.0,58109,1202.0,38705.0,98090.0,47421.0,58390.0,51800.0,1,11,10,10,1,8
infiniti,q30,2016.0,2017,suv,parf car,0,1485.0,80.0,1461.0,3.0,13210.0,44002,1048.0,26155.0,88300.0,26987.0,19782.0,49800.0,28,113,8,1,0,0
honda,civic,2015.0,2017,sports car,"parf car, premium ad car",1,1461.0,228.0,1996.0,1.0,29260.0,57390,1208.0,51928.0,67000.0,41007.0,49410.0,125800.0,2,16,10,1,4,1
mazda,3,2016.0,2016,mid-sized sedan,"parf car, low mileage car",0,1321.0,88.0,1496.0,1.0,12690.0,47889,682.0,14448.0,82000.0,15955.0,10955.0,27800.0,10,15,8,12,3,19
toyota,vios,2010.0,2010,mid-sized sedan,"coe car, low mileage car",0,1095.0,80.0,1497.0,3.0,9280.0,33038,1026.0,18157.0,145000.0,11915.0,11915.0,50988.0,3,172,6,19,3,12
mercedes-benz,a180,2015.0,2015,hatchback,"parf car, low mileage car",0,1395.0,90.0,1595.0,2.0,20230.0,58700,740.0,17814.0,81000.0,22896.0,19055.0,34800.0,1,154,10,10,6,19
shineray,x30l,2022.0,2023,van,electric cars,0,1400.0,12.0,1840.0,3.0,8960.0,65109,1026.0,57242.0,198527.0,33288.0,1665.0,78800.0,45,216,5,11,9,87
toyota,altis,2018.0,2018,mid-sized sedan,parf car,0,1230.0,96.0,1598.0,2.0,17290.0,38001,742.0,28001.0,153405.0,19741.0,19741.0,78888.0,3,3,0,0,3,0
mercedes-benz,maybach,2021.0,2023,suv,"parf car, rare & exotic, almost new car, premium ad car, low mileage car, hybrid cars",0,2785.0,426.0,3982.0,1.0,102590.0,105524,3922.0,384504.0,1700.0,201783.0,383923.0,998800.0,1,104,14,11,0,72
porsche,cayman,2008.0,2008,sports car,"coe car, premium ad car, low mileage car",0,1435.0,180.0,2687.0,3.0,25160.0,36888,3027.0,14634.0,98000.0,82329.0,82329.0,99800.0,25,162,3,3,4,2
bmw,325i,2010.0,2010,sports car,"coe car, premium ad car, sgcarmart warranty cars",0,1460.0,160.0,2497.0,5.0,13960.0,32914,2514.0,20461.0,60821.0,42055.0,42055.0,86800.0,8,245,6,19,4,16
audi,a5,2018.0,2018,luxury sedan,parf car,0,1535.0,140.0,1984.0,1.0,19660.0,30959,1194.0,45861.0,111886.0,38190.0,45466.0,112000.0,9,128,0,0,1,0
honda,freed,2020.0,2023,mpv,"parf car, almost new car, low mileage car",0,1340.0,95.0,1496.0,1.0,14860.0,85001,682.0,98330.0,48.0,22600.0,23640.0,152800.0,2,85,9,11,2,91
honda,civic,2018.0,2019,mid-sized sedan,parf car,0,1249.0,92.0,1597.0,1.0,15310.0,23568,742.0,24529.0,100000.0,19877.0,19877.0,78888.0,2,16,0,8,3,0
bmw,318i,2010.0,2010,luxury sedan,"coe car, direct owner sale, low mileage car",0,1390.0,100.0,1995.0,2.0,11720.0,33568,1812.0,19699.0,54200.0,26856.0,26856.0,68800.0,8,12,6,19,1,27
toyota,hiace,2018.0,2018,van,-,0,1700.0,0.0,2982.0,2.0,13950.0,28154,3003.21150962459,11462.0,48200.0,28138.0,1407.0,56800.0,3,43,0,0,9,7
audi,q7,2016.0,2016,suv,"parf car, premium ad car, low mileage car",0,2105.0,245.0,2995.0,3.0,27100.0,57002,2380.0,72511.0,75000.0,71272.0,100290.0,108800.0,9,149,8,12,0,6
mercedes-benz,b180,2015.0,2015,hatchback,parf car,0,1425.0,90.0,1595.0,4.0,18190.0,61000,740.0,20191.0,180000.0,26023.0,23433.0,33500.0,1,110,10,10,6,0
mg,hs,2020.0,2020,suv,"parf car, premium ad car",0,1563.0,119.0,1490.0,1.0,15990.0,41503,680.0,40885.0,78293.0,19188.0,19188.0,112777.0,21,252,9,9,0,1
porsche,cayenne,2012.0,2012,suv,"coe car, hybrid cars",0,2315.0,245.0,2995.0,6.0,19930.0,58124,2856.0,41929.0,149800.0,110750.0,66450.0,143800.0,25,67,12,13,0,33
toyota,dyna,2017.0,2017,truck,-,1,1800.0,19.0,2982.0,2.0,15090.0,38501,3003.21150962459,11687.0,27181.0,26436.0,1322.0,45800.0,3,135,1,1,5,7
mazda,2,2017.0,2018,suv,"parf car, premium ad car",0,1571.0,121.0,1998.0,1.0,19100.0,53711,1210.0,38727.0,80000.0,27330.0,30262.0,82888.0,10,18,1,0,0,1
mitsubishi,outlander,2021.0,2021,suv,"parf car, premium ad car",0,1480.0,110.0,1998.0,1.0,16940.0,62100,1210.0,57252.0,55167.0,18234.0,18234.0,129800.0,6,14,14,16,0,1
volkswagen,golf,2010.0,2010,sports car,coe car,0,1466.0,188.0,1984.0,6.0,16520.0,33568,1672.0,19911.0,144000.0,37922.0,37922.0,98000.0,11,20,6,19,4,9
audi,a5,2015.0,2017,sports car,"parf car, premium ad car, low mileage car",0,1730.0,130.0,1798.0,2.0,27510.0,51000,976.0,68994.0,53831.0,60528.0,80951.0,128800.0,9,128,10,1,4,6
honda,jazz,2019.0,2019,hatchback,parf car,0,1088.0,96.0,1498.0,1.0,14030.0,25501,684.0,23690.0,89300.0,16865.0,16865.0,73800.0,2,82,7,8,6,0
mitsubishi,evolution,2008.0,2008,sports car,"coe car, premium ad car, low mileage car",0,1570.0,206.0,1998.0,5.0,29300.0,50168,1815.0,16576.0,25000.0,46288.0,46288.0,96800.0,6,7,3,3,4,2
toyota,estima,2015.0,2016,mpv,"parf car, consignment car",0,1740.0,125.0,2362.0,1.0,24320.0,38610,1638.0,24559.0,146687.0,29545.0,33363.0,55800.0,3,39,10,12,2,41
lexus,rx,2017.0,2017,suv,"parf car, premium ad car",0,2070.0,175.0,1998.0,4.0,26120.0,53711,1210.0,66578.0,100300.0,56222.0,73200.0,129000.0,4,44,1,1,0,1
bmw,630i,2019.0,2019,luxury sedan,parf car,0,1720.0,190.0,1998.0,2.0,27340.0,52502,1210.0,84561.0,86000.0,62107.0,83793.0,176800.0,8,96,7,8,1,0
toyota,hiace,2016.0,2017,bus/mini bus,-,0,2140.0,0.0,2982.0,3.0,23600.0,40212,3003.21150962459,12405.0,168055.0,45029.0,2252.0,72800.0,3,43,8,1,8,7
mercedes-benz,c180,2017.0,2017,luxury sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,1425.0,115.0,1595.0,2.0,23700.0,51000,740.0,41367.0,64000.0,37239.0,44135.0,91800.0,1,8,1,1,1,30
mercedes-benz,amg,2023.0,2023,suv,"parf car, rare & exotic, almost new car, low mileage car",0,2595.0,430.0,3982.0,1.0,78910.0,102002,3922.0,293809.0,300.0,149193.0,268225.0,850800.0,1,29,17,11,0,34
suzuki,swift,2006.0,2006,hatchback,"coe car, premium ad car",1,1090.0,92.0,1586.0,5.0,14940.0,51518,1104.0,10967.0,178044.0,12490.0,6940.0,31800.0,27,147,4,4,6,3
honda,stepwagon,2015.0,2016,mpv,"parf car, premium ad car",0,1700.0,110.0,1496.0,2.0,20920.0,44001,682.0,23299.0,105500.0,26955.0,29737.0,47888.0,2,285,10,12,2,1
honda,fit,2020.0,2021,hatchback,"parf car, premium ad car, sgcarmart warranty cars",0,1070.0,72.0,1317.0,1.0,12800.0,47010,578.0,36915.0,33000.0,16459.0,5000.0,92800.0,2,56,9,16,6,8
toyota,vellfire,2017.0,2017,mpv,"parf car, direct owner sale, low mileage car",0,2065.0,134.0,2494.0,3.0,41950.0,50621,1792.0,48327.0,52616.0,45431.0,55604.0,151800.0,3,91,1,1,2,29
mitsubishi,canter,2015.0,2017,truck,premium ad car,0,3980.0,19.0,2998.0,3.0,20340.0,38501,2384.0,11698.0,131405.0,37926.0,1897.0,61800.0,6,10,10,1,5,15
nissan,qashqai,2018.0,2018,suv,parf car,0,1325.0,85.0,1197.0,1.0,13840.0,34110,508.0,26549.0,88000.0,20399.0,20559.0,63800.0,17,41,0,0,0,0
bmw,216d,2015.0,2015,mpv,parf car,0,1480.0,85.0,1496.0,2.0,15200.0,60689,1082.0,22135.0,140131.0,31092.0,25529.0,34800.0,8,116,10,10,2,0
toyota,rav4,2020.0,2021,suv,"parf car, premium ad car, hybrid cars",0,1675.0,160.0,2487.0,1.0,21180.0,45510,1784.0,53131.0,43006.0,38681.0,31154.0,155800.0,3,124,9,16,0,11
mazda,3,2017.0,2018,mid-sized sedan,"parf car, premium ad car",0,1331.0,88.0,1496.0,3.0,13730.0,38000,682.0,26578.0,73327.0,18690.0,18690.0,61500.0,10,15,1,0,3,1
mercedes-benz,e200,2008.0,2009,luxury sedan,"coe car, premium ad car",0,1540.0,135.0,1796.0,5.0,12530.0,31933,1461.0,14777.0,215000.0,51943.0,51943.0,58000.0,1,11,3,6,1,3
toyota,prius,2012.0,2013,hatchback,"coe car, low mileage car, hybrid cars",0,1120.0,74.0,1497.0,2.0,12020.0,48285,752.0,39369.0,96000.0,22923.0,5000.0,48988.0,3,115,12,17,6,69
audi,a6,2015.0,2015,luxury sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1645.0,140.0,1798.0,2.0,15450.0,60001,976.0,35720.0,124144.0,44509.0,49313.0,46800.0,9,90,10,10,1,8
toyota,vios,2009.0,2009,mid-sized sedan,"coe car, premium ad car",1,1075.0,80.0,1497.0,3.0,10180.0,25525,1026.0,12238.0,168000.0,11515.0,11515.0,48800.0,3,172,15,6,3,3
honda,civic,2017.0,2017,mid-sized sedan,"opc car, parf car, premium ad car",0,1249.0,92.0,1597.0,1.0,15680.0,29778,242.0,23093.0,74000.0,19726.0,19726.0,63999.0,2,16,1,1,3,73
hyundai,elantra,2018.0,2018,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,4.0,14790.0,31997,738.0,21142.0,141539.0,10942.0,10942.0,67800.0,12,21,0,0,3,1
toyota,harrier,2016.0,2017,suv,parf car,0,1610.0,111.0,1986.0,1.0,19190.0,50101,1196.0,36341.0,80000.0,32010.0,31814.0,75888.0,3,36,8,1,0,0
volvo,v40,2015.0,2015,hatchback,"parf car, direct owner sale",0,1427.0,84.0,1560.0,4.0,14630.0,66000,1144.0,11559.0,109891.0,23616.0,10063.0,19500.0,16,33,10,10,6,21
mercedes-benz,a200,2019.0,2020,luxury sedan,parf car,0,1385.0,120.0,1332.0,1.0,19910.0,39700,586.0,49549.0,61400.0,32590.0,37626.0,125800.0,1,78,7,9,1,0
honda,n-van,2022.0,2022,van,direct owner sale,0,920.0,12.0,658.0,2.0,9140.0,54721,326.0,45351.0,126302.0,16891.0,845.0,75800.0,2,74,5,5,9,59
bmw,216i,2019.0,2019,mpv,"parf car, premium ad car",0,1490.0,80.0,1499.0,2.0,16690.0,33009,684.0,37841.0,81619.0,24441.0,26218.0,105000.0,8,30,7,8,2,1
bmw,335i,2012.0,2012,luxury sedan,"coe car, consignment car",0,1520.0,225.0,2979.0,4.0,16030.0,80583,2834.0,60757.0,72007.0,52416.0,52416.0,120888.0,8,219,12,13,1,4
porsche,911,2016.0,2017,sports car,"parf car, rare & exotic",0,1450.0,272.0,2981.0,2.0,96820.0,48556,2364.0,123925.0,97000.0,118008.0,184415.0,358800.0,25,181,8,1,4,97
audi,a4,2020.0,2021,luxury sedan,"parf car, premium ad car, hybrid cars",0,1515.0,110.0,1984.0,1.0,18460.0,60109,1194.0,69928.0,36184.0,32240.0,37136.0,147800.0,9,133,9,16,1,11
bmw,216d,2016.0,2016,mpv,"parf car, premium ad car",0,1480.0,85.0,1496.0,2.0,16810.0,43000,1082.0,21332.0,105203.0,30861.0,25206.0,41800.0,8,116,8,12,2,1
renault,grand,2019.0,2019,mpv,"parf car, premium ad car",0,1540.0,81.0,1461.0,1.0,14230.0,33199,1048.0,30566.0,84000.0,25283.0,17397.0,83800.0,31,114,7,8,2,1
lexus,rx,2021.0,2021,suv,"parf car, premium ad car, low mileage car",0,1965.0,175.0,1998.0,1.0,26100.0,70200,1210.0,112459.0,22112.0,60492.0,80886.0,233000.0,4,44,14,16,0,6
alfa romeo,Other,2010.0,2010,luxury sedan,"coe car, sgcarmart warranty cars",0,1490.0,136.0,2198.0,3.0,28840.0,16457,2024.0,3995.0,158449.0,23637.0,23637.0,35000.0,60,17,6,19,1,47
mercedes-benz,a180,2022.0,2022,hatchback,parf car,0,1365.0,96.0,1332.0,1.0,16830.0,80501,586.0,91872.0,28000.0,31877.0,36628.0,159800.0,1,154,5,5,6,0
ford,Other,2016.0,2016,hatchback,"parf car, low mileage car",0,1178.0,74.0,998.0,1.0,13290.0,52301,392.0,13747.0,58000.0,14812.0,5000.0,29800.0,44,17,8,12,6,19
bmw,x1,2019.0,2019,suv,"parf car, premium ad car, low mileage car",0,1430.0,103.0,1499.0,3.0,17990.0,42564,684.0,51662.0,47453.0,36905.0,43667.0,111000.0,8,88,7,8,0,6
volkswagen,jetta,2015.0,2015,mid-sized sedan,parf car,0,1417.0,90.0,1390.0,1.0,11840.0,57301,620.0,18501.0,120183.0,19366.0,19366.0,25900.0,11,173,10,10,3,0
bmw,x2,2018.0,2018,suv,"parf car, premium ad car",0,1415.0,103.0,1499.0,2.0,18220.0,32000,684.0,45732.0,87000.0,37835.0,44969.0,103800.0,8,210,0,0,0,1
honda,vezel,2015.0,2016,suv,parf car,0,1190.0,96.0,1496.0,1.0,16180.0,53694,682.0,16863.0,118000.0,20868.0,11216.0,37888.0,2,55,10,12,0,0
kia,cerato,2009.0,2009,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1251.0,92.0,1591.0,2.0,10770.0,29328,1107.0,15194.0,131000.0,14116.0,14116.0,55800.0,18,37,15,6,3,2
bmw,z4,2009.0,2009,sports car,"coe car, premium ad car",0,1600.0,225.0,2979.0,6.0,15790.0,31335,3543.0,13847.0,198000.0,63531.0,63531.0,69800.0,8,241,15,6,4,3
mitsubishi,lancer,2015.0,2016,mid-sized sedan,"parf car, premium ad car",0,1284.0,86.0,1590.0,2.0,14140.0,46009,738.0,15631.0,94148.0,13477.0,13477.0,32000.0,6,71,10,12,3,1
audi,a4,2016.0,2016,luxury sedan,"parf car, direct owner sale",0,1450.0,110.0,1395.0,1.0,16060.0,57508,624.0,26032.0,86000.0,32034.0,26848.0,44888.0,9,133,8,12,1,21
mercedes-benz,e200,2016.0,2016,luxury sedan,parf car,0,1605.0,135.0,1991.0,3.0,23190.0,56500,1202.0,55415.0,99000.0,54238.0,69629.0,90800.0,1,11,8,12,1,0
porsche,cayman,2011.0,2011,sports car,"coe car, low mileage car",0,1450.0,235.0,3436.0,5.0,28780.0,58124,3988.0,42407.0,91000.0,82628.0,82628.0,210000.0,25,162,11,7,4,12
mercedes-benz,cla180,2015.0,2016,luxury sedan,parf car,0,1430.0,90.0,1595.0,3.0,16220.0,56001,740.0,22219.0,154133.0,27820.0,25948.0,36000.0,1,75,10,12,1,0
toyota,vios,2019.0,2019,mid-sized sedan,parf car,0,1085.0,79.0,1496.0,1.0,12960.0,36704,682.0,27179.0,70000.0,13788.0,13788.0,68800.0,3,172,7,8,3,0
kia,cerato,2010.0,2010,mid-sized sedan,coe car,0,1251.0,92.0,1591.0,3.0,12590.0,29839,1107.0,14413.0,136236.0,11398.0,11398.0,60800.0,18,37,6,19,3,9
volvo,v40,2016.0,2017,hatchback,"parf car, premium ad car",0,1470.0,140.0,1969.0,1.0,16150.0,48209,1176.0,29993.0,103000.0,25901.0,28262.0,57800.0,16,33,8,1,6,1
toyota,altis,2021.0,2021,mid-sized sedan,parf car,0,1315.0,96.0,1598.0,1.0,14030.0,47001,742.0,49136.0,109927.0,19346.0,19346.0,113000.0,3,3,14,16,3,0
nissan,nv200,2015.0,2016,van,-,1,1260.0,12.0,1461.0,1.0,10400.0,39098,1048.0,6695.0,132050.0,19981.0,1000.0,17800.0,17,108,10,12,9,7
bmw,x1,2018.0,2018,suv,"parf car, premium ad car",0,1430.0,103.0,1499.0,2.0,17050.0,33900,684.0,43157.0,88420.0,35811.0,42136.0,89777.0,8,88,0,0,0,1
chevrolet,orlando,2016.0,2016,mpv,parf car,0,1650.0,103.0,1362.0,3.0,11160.0,57501,604.0,19997.0,98000.0,15878.0,15878.0,29800.0,29,94,8,12,2,0
mitsubishi,outlander,2016.0,2017,suv,"parf car, premium ad car",0,1625.0,123.0,2360.0,2.0,16940.0,46229,1636.0,26301.0,90000.0,23319.0,24647.0,54500.0,6,14,8,1,0,1
toyota,vellfire,2023.0,2024,mpv,"parf car, almost new car, premium ad car, low mileage car, hybrid cars",0,2190.0,184.0,2487.0,1.0,32130.0,101334,1784.0,157156.0,50.0,57847.0,76910.0,353888.0,3,91,17,18,2,49
porsche,cayenne,2018.0,2020,suv,Other,0,2095.0,324.0,2894.0,2.0,45160.0,37500,2262.0,167837.0,72133.0,123144.0,193660.0,368888.0,25,67,0,9,0,23
renault,megane,2018.0,2018,mid-sized sedan,parf car,0,1315.0,97.0,1197.0,1.0,13230.0,36426,508.0,26985.0,112000.0,19990.0,19990.0,60800.0,31,168,0,0,3,0
volkswagen,golf,2008.0,2009,hatchback,"coe car, low mileage car",0,1226.0,90.0,1390.0,4.0,10970.0,26047,930.0,11725.0,128879.0,22132.0,22132.0,49388.0,11,20,3,6,6,12
hino,xzu710r,2018.0,2018,truck,premium ad car,1,3580.0,19.0,4009.0,4.0,13900.0,27509,4562.665966847077,12421.0,17769.0,35208.0,1761.0,62800.0,40,201,0,0,5,15
toyota,altis,2020.0,2020,mid-sized sedan,parf car,0,1315.0,96.0,1598.0,1.0,17060.0,35010,742.0,34594.0,69500.0,19678.0,19678.0,106500.0,3,3,9,9,3,0
rolls-royce,ghost,2022.0,2022,luxury sedan,"parf car, rare & exotic, low mileage car",0,2360.0,420.0,6592.0,2.0,118930.0,86102,8004.0,623079.0,13000.0,425111.0,737200.0,1338000.0,48,238,5,5,1,57
subaru,impreza,2008.0,2008,sports car,"coe car, premium ad car",1,1505.0,221.0,2457.0,4.0,16820.0,32121,2625.0,13693.0,136204.0,32150.0,32150.0,71688.0,7,9,3,3,4,3
honda,vezel,2016.0,2016,suv,"parf car, hybrid cars",0,1280.0,112.0,1496.0,3.0,16930.0,57903,682.0,15104.0,39553.0,25651.0,5000.0,37888.0,2,55,8,12,0,20
mercedes-benz,gla180,2017.0,2018,suv,parf car,0,1480.0,90.0,1595.0,2.0,18890.0,40000,740.0,35589.0,64800.0,28721.0,32210.0,85300.0,1,77,1,0,0,0
bmw,523i,2011.0,2011,luxury sedan,coe car,0,1650.0,150.0,2497.0,4.0,13390.0,47316,2514.0,31799.0,165783.0,47598.0,47598.0,90000.0,8,84,11,7,1,9
mercedes-benz,cla180,2022.0,2022,luxury sedan,"parf car, low mileage car",0,1410.0,96.0,1332.0,2.0,19930.0,72996,586.0,86272.0,22500.0,33710.0,39194.0,174888.0,1,75,5,5,1,19
bmw,520d,2017.0,2017,luxury sedan,"parf car, premium ad car",0,1560.0,140.0,1995.0,1.0,23220.0,49996,1806.0,48819.0,78366.0,45562.0,50787.0,98800.0,8,322,1,1,1,1
hino,Other,2019.0,2020,truck,-,1,2500.0,19.0,4009.0,1.0,14820.0,25013,4562.665966847077,14302.0,119924.0,33279.0,1664.0,84800.0,40,17,7,9,5,7
mercedes-benz,a200,2018.0,2018,hatchback,"parf car, sgcarmart warranty cars",0,1375.0,120.0,1333.0,2.0,18840.0,31307,588.0,35227.0,76000.0,27875.0,31025.0,96800.0,1,78,0,0,6,14
opel,astra,2017.0,2017,hatchback,parf car,0,1188.0,77.0,999.0,3.0,11960.0,50789,392.0,17137.0,162289.0,19486.0,5000.0,35800.0,30,223,1,1,6,0
mitsubishi,attrage,2020.0,2020,mid-sized sedan,parf car,0,945.0,59.0,1193.0,1.0,11700.0,38504,506.0,27865.0,70500.0,14707.0,5000.0,75800.0,6,70,9,9,3,0
bmw,216i,2022.0,2022,luxury sedan,parf car,0,1375.0,80.0,1499.0,1.0,19340.0,90589,684.0,90475.0,26393.0,33575.0,24005.0,173800.0,8,30,5,5,1,0
toyota,estima,2016.0,2016,mpv,parf car,0,1750.0,125.0,2362.0,2.0,24780.0,57002,1638.0,38857.0,88000.0,35910.0,42274.0,79800.0,3,39,8,12,2,0
lexus,is,2016.0,2016,luxury sedan,"parf car, premium ad car",0,1620.0,180.0,1998.0,3.0,20310.0,57002,1210.0,39541.0,140000.0,37505.0,44507.0,68000.0,4,166,8,12,1,1
volkswagen,golf,2010.0,2011,hatchback,"coe car, premium ad car",0,1241.0,90.0,1390.0,1.0,10010.0,38137,868.0,24700.0,182701.0,22301.0,22301.0,64800.0,11,20,6,7,6,3
honda,accord,2008.0,2008,sports car,"coe car, direct owner sale",1,1390.0,162.0,1998.0,1.0,21410.0,44998,1815.0,16988.0,167525.0,24846.0,24846.0,80888.0,2,102,3,3,4,35
mercedes-benz,c180,2012.0,2012,luxury sedan,"coe car, premium ad car",0,1500.0,115.0,1597.0,4.0,12840.0,50570,890.0,38170.0,15760.0,30319.0,30319.0,96888.0,1,8,12,13,1,3
kia,cerato,2010.0,2010,mid-sized sedan,"coe car, premium ad car",0,1251.0,92.0,1591.0,2.0,14320.0,16438,1107.0,2729.0,12330.0,11374.0,11374.0,11888.0,18,37,6,19,3,3
mini,cooper,2018.0,2018,sports car,"parf car, premium ad car",0,1390.0,141.0,1998.0,1.0,21870.0,39001,1210.0,43337.0,67979.0,37110.0,43954.0,104800.0,20,42,0,0,4,1
ford,ranger,2013.0,2014,truck,coe car,0,2080.0,19.0,2198.0,4.0,15620.0,38584,2169.0,33996.0,135000.0,22118.0,22966.0,68800.0,44,309,18,14,5,9
hyundai,avante,2019.0,2019,mid-sized sedan,parf car,0,1345.0,93.0,1591.0,1.0,13840.0,26301,738.0,24993.0,112448.0,17813.0,17813.0,74800.0,12,40,7,8,3,0
toyota,raize,2020.0,2022,suv,"parf car, sgcarmart warranty cars",0,970.0,72.0,996.0,1.0,13560.0,86000,392.0,72550.0,30000.0,19329.0,5000.0,111900.0,3,155,9,5,0,14
land rover,discovery,2016.0,2016,suv,parf car,0,1844.0,110.0,2179.0,3.0,19200.0,54901,2096.0,42902.0,116888.0,41380.0,49932.0,71888.0,0,68,8,12,0,0
kia,carens,2016.0,2017,mpv,parf car,0,1525.0,104.0,1685.0,1.0,13830.0,49899,1318.0,31129.0,112000.0,26043.0,23461.0,55888.0,18,134,8,1,2,0
hyundai,avante,2021.0,2022,mid-sized sedan,"parf car, sgcarmart warranty cars",0,1280.0,90.0,1598.0,1.0,15160.0,57898,742.0,47784.0,48000.0,18746.0,5000.0,117800.0,12,40,14,5,3,14
honda,s2000,2008.0,2009,sports car,"coe car, direct owner sale, low mileage car",1,1250.0,178.0,2156.0,1.0,40120.0,31335,2094.0,14517.0,20300.0,35251.0,35251.0,186000.0,2,5,3,6,4,27
bmw,x1,2022.0,2022,suv,parf car,0,1500.0,90.0,1499.0,2.0,19780.0,88007,684.0,103517.0,19800.0,37249.0,44149.0,187888.0,8,88,5,5,0,0
bmw,740li,2019.0,2019,luxury sedan,"parf car, direct owner sale",0,1805.0,250.0,2998.0,2.0,30070.0,34000,2384.0,129140.0,138000.0,98360.0,149048.0,228000.0,8,175,7,8,1,21
bmw,216i,2019.0,2019,mpv,parf car,0,1490.0,80.0,1499.0,2.0,14910.0,26999,684.0,38764.0,88124.0,31833.0,36567.0,91000.0,8,30,7,8,2,0
toyota,harrier,2018.0,2018,suv,"parf car, premium ad car",0,1695.0,170.0,1998.0,2.0,21660.0,42661,1210.0,38638.0,110000.0,30808.0,35132.0,97800.0,3,36,0,0,0,1
suzuki,sx4,2016.0,2016,suv,"parf car, low mileage car, sgcarmart warranty cars",0,1125.0,86.0,1586.0,1.0,15410.0,50991,736.0,24634.0,64000.0,20704.0,20986.0,46888.0,27,284,8,12,0,26
toyota,corolla,2019.0,2022,hatchback,"parf car, premium ad car, hybrid cars",0,1360.0,90.0,1798.0,1.0,16820.0,107001,976.0,96612.0,28000.0,22811.0,8936.0,145800.0,3,99,7,5,6,11
lamborghini,huracan,2018.0,2019,sports car,"parf car, rare & exotic, low mileage car",0,1617.0,426.0,5204.0,2.0,112790.0,35310,5834.0,278522.0,29500.0,223780.0,374804.0,715800.0,5,6,0,8,4,57
mercedes-benz,e200,2011.0,2011,sports car,"coe car, direct owner sale",0,1685.0,135.0,1796.0,5.0,13040.0,58124,1266.0,41913.0,147000.0,52266.0,52266.0,94000.0,1,11,11,7,4,35
toyota,proace,2017.0,2019,van,premium ad car,1,1600.0,12.0,1560.0,2.0,9580.0,27589,1278.0,13485.0,98479.0,28690.0,1435.0,46800.0,3,249,1,8,9,15
toyota,camry,2018.0,2019,luxury sedan,"parf car, premium ad car, hybrid cars",0,1570.0,160.0,2487.0,1.0,19620.0,34000,1784.0,32238.0,56000.0,28444.0,21822.0,108800.0,3,121,0,8,1,11
nissan,nv200,2012.0,2013,van,"coe car, direct owner sale",0,1220.0,12.0,1597.0,2.0,11330.0,40143,1039.0,31894.0,98026.0,21601.0,1081.0,45000.0,17,108,12,17,9,35
