make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,price
mg,mg-mgb,1972.0,04-jul-1972,sports car,"coe car, rare & exotic, low mileage car, vintage cars",0,1562.0,245.0,1798.0,6.0,11510.0,4289,2199.0,59000.0
honda,honda-civic,2008.0,17-mar-2008,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1312.0,114.0,1998.0,2.0,12730.0,44998,16187.0,45800.0
mazda,mazda-2,2020.0,18-jun-2020,suv,parf car,0,1453.0,121.0,1998.0,1.0,15900.0,32889,42887.0,109800.0
honda,honda-shuttle,2018.0,13-jun-2018,stationwagon,"parf car, premium ad car",0,1130.0,97.0,1496.0,1.0,14360.0,38001,20880.0,60800.0
mitsubishi,mitsubishi-outlander,2018.0,03-aug-2018,suv,"parf car, direct owner sale, sgcarmart warranty cars",0,1480.0,110.0,1998.0,3.0,17500.0,37989,31841.0,83888.0
audi,audi-r8,2008.0,28-jul-2008,sports car,"coe car, premium ad car",0,1565.0,309.0,4163.0,3.0,33200.0,36888,15200.0,136800.0
bmw,bmw-1m,2011.0,27-may-2011,sports car,"coe car, premium ad car, low mileage car",1,1495.0,250.0,2979.0,3.0,30500.0,40714,26670.0,199800.0
mazda,mazda-2,2020.0,26-jan-2021,suv,parf car,0,1793.0,143.0,2488.0,1.0,21680.0,50100,61430.0,160800.0
mazda,mazda-2,2017.0,14-jul-2017,luxury sedan,parf car,0,1472.0,121.0,1998.0,2.0,13920.0,55000,28616.0,51800.0
bmw,bmw-x1,2018.0,31-may-2018,suv,"parf car, premium ad car, low mileage car",0,1430.0,103.0,1499.0,1.0,18980.0,38039,41840.0,95800.0
nissan,nissan-nv200,2023.0,02-feb-2024,van,almost new car,0,1220.0,12.0,1597.0,1.0,9210.0,26336,25384.0,88800.0
subaru,subaru-impreza,2017.0,17-apr-2018,mid-sized sedan,parf car,0,1438.0,115.0,1995.0,1.0,14290.0,37605,23298.0,59900.0
nissan,nissan-200sx,1989.0,04-may-1991,sports car,"coe car, premium ad car",1,1562.0,245.0,1809.0,6.0,20460.0,35411,17269.0,99800.0
subaru,subaru-forester,2019.0,17-dec-2020,suv,"parf car, premium ad car",0,1591.0,115.0,1995.0,1.0,15960.0,45012,40852.0,108800.0
mitsubishi,mitsubishi-canter,2015.0,27-apr-2016,truck,premium ad car,0,2500.0,19.0,2998.0,3.0,14920.0,22214,4138.0,27800.0
bmw,bmw-320,2019.0,28-feb-2020,luxury sedan,parf car,0,1460.0,135.0,1998.0,2.0,21950.0,37500,62891.0,152999.0
jaguar,jaguar-xe,2016.0,28-dec-2016,luxury sedan,parf car,0,1574.0,132.0,1999.0,2.0,14100.0,50010,31721.0,50800.0
audi,audi-a5,2018.0,28-feb-2019,luxury sedan,"parf car, premium ad car",0,1535.0,140.0,1984.0,3.0,20280.0,35403,47933.0,115000.0
honda,honda-n-van,2024.0,17-jul-2024,van,"almost new car, premium ad car",0,920.0,12.0,658.0,1.0,8840.0,58753,47002.0,87800.0
bmw,bmw-316i,2013.0,28-sep-2013,luxury sedan,"coe car, premium ad car",0,1405.0,100.0,1598.0,5.0,14310.0,78930,65523.0,118800.0
porsche,porsche-cayenne,2023.0,27-jun-2023,suv,"parf car, rare & exotic, almost new car, premium ad car, low mileage car",0,2060.0,250.0,2995.0,1.0,46650.0,95856,187542.0,488800.0
mitsubishi,mitsubishi-attrage,2016.0,29-jul-2016,mid-sized sedan,"parf car, sgcarmart warranty cars",0,940.0,57.0,1193.0,1.0,13840.0,47889,13142.0,31800.0
mitsubishi,mitsubishi-attrage,2018.0,19-sep-2018,mid-sized sedan,"parf car, sgcarmart warranty cars",0,940.0,59.0,1193.0,3.0,10840.0,31997,16457.0,46400.0
suzuki,suzuki-every,2021.0,27-apr-2021,van,premium ad car,0,900.0,12.0,658.0,1.0,9440.0,25796,17711.0,64800.0
mercedes-benz,mercedes-benz-e250,2010.0,04-may-2011,luxury sedan,"coe car, consignment car",0,1650.0,150.0,1796.0,5.0,12630.0,47316,32149.0,85800.0
mercedes-benz,mercedes-benz-c180,2011.0,10-jan-2012,luxury sedan,"coe car, premium ad car",0,1500.0,115.0,1597.0,3.0,11090.0,50570,37754.0,82800.0
volkswagen,volkswagen-touran,2016.0,14-jul-2017,mpv,"parf car, premium ad car",0,1560.0,85.0,1598.0,1.0,18000.0,42801,26711.0,65800.0
bmw,bmw-520d,2017.0,31-oct-2017,luxury sedan,"parf car, premium ad car",0,1560.0,140.0,1995.0,1.0,25590.0,48109,47242.0,106800.0
bmw,bmw-325i,1992.0,22-feb-1992,luxury sedan,"coe car, premium ad car",1,1587.0,161.0,2494.0,6.0,14170.0,33018,15840.0,68000.0
suzuki,suzuki-swift,2019.0,27-sep-2019,hatchback,"parf car, premium ad car, low mileage car",0,940.0,82.0,998.0,1.0,13670.0,31759,27859.0,77800.0
rolls-royce,rolls-royce-phantom,2022.0,12-apr-2022,luxury sedan,"parf car, rare & exotic, low mileage car",0,2685.0,420.0,6749.0,1.0,222260.0,82501,754962.0,2200000.0
mitsubishi,mitsubishi-evolution,2008.0,25-sep-2008,sports car,coe car,0,1540.0,206.0,1998.0,6.0,26780.0,33377,13707.0,110000.0
toyota,toyota-estima,2007.0,31-oct-2007,mpv,"coe car, premium ad car, low mileage car",0,1800.0,125.0,2362.0,3.0,18010.0,50451,17029.0,60800.0
audi,audi-a3,2014.0,23-jun-2015,luxury sedan,parf car,0,1310.0,92.0,1395.0,2.0,16250.0,61000,15493.0,25000.0
volkswagen,volkswagen-jetta,2015.0,31-oct-2016,mid-sized sedan,"parf car, premium ad car",0,1417.0,90.0,1390.0,3.0,12110.0,50000,24395.0,37500.0
bmw,bmw-318i,2017.0,31-may-2018,luxury sedan,"parf car, direct owner sale",0,1425.0,100.0,1499.0,2.0,16570.0,38501,41450.0,85800.0
nissan,nissan-cabstar,2021.0,30-nov-2021,truck,direct owner sale,0,2280.0,19.0,1998.0,2.0,9050.0,30450,22717.0,67500.0
mercedes-benz,mercedes-benz-c180,2011.0,28-feb-2012,luxury sedan,"coe car, premium ad car",0,1500.0,115.0,1597.0,3.0,12690.0,50570,38170.0,95800.0
subaru,subaru-levorg,2016.0,19-aug-2016,stationwagon,"parf car, premium ad car, low mileage car",0,1630.0,125.0,1600.0,1.0,16420.0,57903,28315.0,47000.0
toyota,toyota-alphard,2021.0,24-nov-2021,mpv,"parf car, direct owner sale, hybrid cars",0,2160.0,145.0,2493.0,1.0,26640.0,79601,121179.0,235000.0
volkswagen,volkswagen-tiguan,2022.0,29-sep-2022,suv,"parf car, low mileage car",0,1678.0,140.0,1984.0,1.0,20320.0,108051,115486.0,185800.0
mazda,mazda-3,2015.0,26-feb-2016,mid-sized sedan,"parf car, premium ad car, low mileage car",0,1321.0,88.0,1496.0,1.0,15170.0,43000,13679.0,29800.0
toyota,toyota-sienta,2018.0,08-oct-2018,mpv,parf car,0,1350.0,79.0,1496.0,2.0,15610.0,28000,25447.0,75800.0
porsche,porsche-macan,2020.0,06-jun-2023,suv,"parf car, premium ad car, sgcarmart warranty cars",0,1870.0,180.0,1984.0,1.0,33220.0,118501,177778.0,345800.0
mazda,mazda-3,2017.0,17-jul-2017,mid-sized sedan,"parf car, premium ad car",0,1310.0,88.0,1496.0,3.0,12690.0,36732,18666.0,44800.0
opel,opel-astra,2017.0,20-sep-2017,hatchback,parf car,0,1188.0,77.0,999.0,2.0,11040.0,36001,14435.0,36800.0
honda,honda-vezel,2017.0,29-mar-2017,suv,"parf car, premium ad car, hybrid cars",0,1280.0,112.0,1496.0,3.0,16620.0,50621,17091.0,48800.0
porsche,porsche-macan,2017.0,10-nov-2017,suv,"parf car, premium ad car",0,1970.0,265.0,2997.0,1.0,39870.0,49000,101573.0,198000.0
volvo,volvo-xc60,2015.0,26-feb-2016,suv,"parf car, premium ad car",0,1722.0,180.0,1969.0,2.0,16430.0,38610,28169.0,44800.0
honda,honda-fit,2019.0,01-aug-2019,hatchback,parf car,0,1030.0,73.0,1317.0,2.0,13980.0,26667,18397.0,74888.0
mini,mini-cooper,2019.0,08-jan-2020,sports car,parf car,0,1550.0,225.0,1998.0,3.0,24870.0,39700,67645.0,168800.0
renault,renault-megane,2019.0,30-sep-2020,sports car,"parf car, consignment car, low mileage car",0,1430.0,205.0,1798.0,1.0,19480.0,39256,51719.0,139888.0
toyota,toyota-c-hr,2018.0,19-jul-2019,suv,"parf car, premium ad car, hybrid cars",0,1440.0,90.0,1797.0,1.0,14860.0,35906,35164.0,85800.0
toyota,toyota-sienta,2019.0,14-may-2019,mpv,"parf car, premium ad car",0,1350.0,79.0,1496.0,1.0,14930.0,29159,27208.0,79800.0
mercedes-benz,mercedes-benz-slk200,2011.0,18-jan-2012,sports car,"coe car, premium ad car",0,1470.0,135.0,1796.0,5.0,12090.0,79034,60023.0,91800.0
mazda,mazda-2,2016.0,01-jun-2017,luxury sedan,"parf car, premium ad car",0,1472.0,121.0,1998.0,2.0,14500.0,54556,29867.0,52800.0
honda,honda-vezel,2019.0,19-dec-2019,suv,"parf car, premium ad car",0,1190.0,96.0,1496.0,2.0,14840.0,30046,27028.0,86800.0
mitsubishi,mitsubishi-lancer,2009.0,29-jul-2009,mid-sized sedan,"coe car, consignment car",0,1313.0,80.0,1499.0,6.0,12650.0,30512,15624.0,64800.0
audi,audi-q5,2019.0,20-feb-2020,suv,"parf car, direct owner sale",0,1795.0,185.0,1984.0,1.0,22000.0,32889,58244.0,149800.0
skoda,skoda-octavia,2018.0,26-mar-2019,mid-sized sedan,"parf car, premium ad car",0,1577.0,180.0,1984.0,2.0,19080.0,39401,39343.0,105800.0
mitsubishi,mitsubishi-outlander,2016.0,25-apr-2016,suv,parf car,0,1530.0,123.0,2360.0,1.0,16390.0,46502,21120.0,41800.0
volkswagen,volkswagen-sportsvan,2015.0,28-jan-2016,hatchback,"parf car, premium ad car",0,1383.0,92.0,1395.0,2.0,14850.0,51301,18159.0,33000.0
audi,audi-a5,2019.0,16-oct-2019,luxury sedan,parf car,0,1535.0,140.0,1984.0,2.0,19720.0,41361,57501.0,128888.0
mercedes-benz,mercedes-benz-amg,2017.0,19-aug-2020,sports car,"parf car, premium ad car, low mileage car",0,1780.0,180.0,1991.0,1.0,33830.0,36502,97185.0,258800.0
subaru,subaru-forester,2018.0,16-nov-2018,suv,"parf car, premium ad car",0,1591.0,110.0,1995.0,1.0,15430.0,32302,23156.0,72500.0
toyota,toyota-wish,2017.0,30-jan-2018,mpv,parf car,0,1355.0,105.0,1798.0,1.0,16370.0,42661,27522.0,65800.0
bmw,bmw-520i,2015.0,20-jan-2016,luxury sedan,"parf car, direct owner sale",0,1615.0,135.0,1997.0,3.0,23960.0,55089,34750.0,58900.0
lamborghini,lamborghini-gallardo,2012.0,31-may-2013,sports car,"coe car, rare & exotic, low mileage car",0,1550.0,412.0,5204.0,6.0,38930.0,115270,103301.0,348888.0
isuzu,isuzu-lt134p,2008.0,11-sep-2009,bus/mini bus,"coe car, direct owner sale",1,10120.0,4.0,7790.0,5.0,16720.0,25832,13135.0,85000.0
mitsubishi,mitsubishi-canter,2013.0,04-jun-2014,truck,"coe car, premium ad car",0,1800.0,19.0,2998.0,1.0,9660.0,35310,35097.0,47988.0
bmw,bmw-218i,2014.0,11-mar-2015,hatchback,"parf car, premium ad car",0,1360.0,100.0,1499.0,3.0,15090.0,68668,16942.0,23000.0
volvo,volvo-v40,2014.0,13-mar-2015,hatchback,parf car,0,1448.0,84.0,1560.0,4.0,16370.0,61410,11159.0,17888.0
mazda,mazda-3,2022.0,13-oct-2022,hatchback,"parf car, hybrid cars",0,1404.0,88.0,1496.0,1.0,16680.0,80501,72787.0,142800.0
mercedes-benz,mercedes-benz-c180,2022.0,27-may-2022,luxury sedan,"parf car, hybrid cars",0,1550.0,140.0,1496.0,2.0,22710.0,92090,108122.0,203800.0
mercedes-benz,mercedes-benz-a200,2018.0,14-mar-2019,hatchback,"parf car, premium ad car, low mileage car",0,1375.0,120.0,1332.0,1.0,20250.0,31101,43770.0,116800.0
audi,audi-a4,2021.0,31-jan-2023,luxury sedan,"parf car, premium ad car, low mileage car, hybrid cars",0,1515.0,110.0,1984.0,1.0,20950.0,113881,127032.0,199999.0
kia,kia-cerato,2017.0,08-may-2017,mid-sized sedan,parf car,0,1295.0,95.0,1591.0,3.0,13150.0,51600,24132.0,45000.0
audi,audi-a6,2019.0,30-nov-2020,luxury sedan,"parf car, premium ad car, hybrid cars",0,1890.0,250.0,2995.0,1.0,34180.0,39500,92492.0,265800.0
toyota,toyota-dyna,2021.0,21-sep-2021,truck,premium ad car,1,1800.0,19.0,2755.0,1.0,13180.0,30232,21974.0,95800.0
bmw,bmw-m3,2011.0,23-aug-2011,sports car,"coe car, premium ad car, low mileage car",0,1830.0,309.0,3999.0,4.0,16720.0,47316,32551.0,115000.0
mazda,mazda-2,2016.0,29-jun-2016,mpv,"parf car, low mileage car",0,1535.0,111.0,1998.0,1.0,13790.0,57010,21994.0,36800.0
mitsubishi,mitsubishi-canter,2019.0,25-jul-2019,truck,premium ad car,1,2500.0,19.0,2998.0,1.0,15420.0,27400,14000.0,78800.0
bmw,bmw-216i,2017.0,28-sep-2017,mpv,"parf car, consignment car",0,1480.0,75.0,1499.0,3.0,15700.0,42902,33912.0,65800.0
mini,mini-cooper,2014.0,14-apr-2014,hatchback,coe car,0,1115.0,100.0,1499.0,6.0,12010.0,39241,37908.0,57988.0
kia,kia-stonic,2021.0,22-feb-2022,suv,parf car,0,1185.0,73.0,998.0,1.0,13070.0,60761,50478.0,103000.0
hyundai,hyundai-elantra,2017.0,25-sep-2017,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,1.0,13370.0,36001,19390.0,47998.0
mercedes-benz,mercedes-benz-e200,2005.0,22-apr-2006,luxury sedan,"coe car, premium ad car, low mileage car",0,1570.0,120.0,1796.0,6.0,14600.0,47450,8385.0,25800.0
mazda,mazda-2,2017.0,24-feb-2017,suv,parf car,0,1528.0,121.0,1998.0,1.0,16600.0,53001,31175.0,58800.0
nissan,nissan-200sx,1989.0,13-may-1991,sports car,"coe car, premium ad car",1,1562.0,245.0,1809.0,6.0,18680.0,33568,19727.0,109800.0
nissan,nissan-nv200,2021.0,25-jun-2021,van,-,0,1220.0,12.0,1597.0,1.0,9680.0,24293,17072.0,67999.0
mini,mini-cooper,2009.0,28-apr-2009,sports car,"coe car, low mileage car",0,1255.0,128.0,1598.0,4.0,11400.0,26175,12743.0,55500.0
volvo,volvo-xc60,2021.0,12-mar-2021,suv,"parf car, premium ad car",0,1757.0,187.0,1969.0,2.0,24040.0,45001,63162.0,183888.0
audi,audi-q5,2010.0,31-aug-2010,suv,"coe car, premium ad car",0,1740.0,155.0,1984.0,6.0,13510.0,32914,19929.0,81800.0
kia,kia-carens,2017.0,05-jun-2017,mpv,"parf car, premium ad car",0,1525.0,104.0,1685.0,2.0,14570.0,54406,27608.0,52800.0
toyota,toyota-estima,2017.0,18-dec-2017,mpv,"parf car, sgcarmart warranty cars",0,1730.0,125.0,2362.0,1.0,22340.0,53711,44115.0,97800.0
bentley,bentley-continental,2020.0,20-oct-2020,sports car,"parf car, direct owner sale, low mileage car",0,2240.0,404.0,3996.0,2.0,92730.0,41001,295863.0,768800.0
mitsubishi,mitsubishi-canter,2016.0,25-oct-2016,truck,premium ad car,1,3900.0,19.0,2998.0,1.0,17720.0,41801,9860.0,41800.0
land rover,land rover-discovery,2017.0,28-may-2018,suv,"parf car, consignment car",0,1953.0,177.0,1997.0,3.0,20470.0,37605,51490.0,106000.0
mitsubishi,mitsubishi-outlander,2016.0,20-sep-2016,suv,"parf car, premium ad car, low mileage car",0,1530.0,123.0,2360.0,2.0,16120.0,57002,27618.0,47800.0
volkswagen,volkswagen-golf,2020.0,26-mar-2021,sports car,"parf car, premium ad car",0,1408.0,169.0,1984.0,2.0,22340.0,51900,65648.0,168800.0
lexus,lexus-es,2019.0,08-mar-2019,luxury sedan,"parf car, hybrid cars",0,1680.0,160.0,2487.0,1.0,22810.0,36961,56560.0,135800.0
kia,kia-ev6,2022.0,25-jul-2023,suv,"parf car, premium ad car, electric cars",0,2015.0,239.0,1911.0,1.0,22570.0,118001,129823.0,225800.0
kia,kia-cerato,2009.0,27-may-2009,mid-sized sedan,"coe car, premium ad car",0,1251.0,92.0,1591.0,4.0,10650.0,27886,13569.0,51800.0
mazda,mazda-2,2017.0,18-may-2017,mpv,parf car,0,1535.0,111.0,1998.0,2.0,14780.0,54556,27538.0,52900.0
mazda,mazda-2,2019.0,08-dec-2020,luxury sedan,"parf car, premium ad car",0,1514.0,121.0,1998.0,1.0,15420.0,41503,42281.0,107500.0
toyota,toyota-dyna,2022.0,31-aug-2022,truck,-,1,1800.0,19.0,2755.0,1.0,14100.0,48461,39804.0,115800.0
volkswagen,volkswagen-golf,2021.0,11-jun-2021,hatchback,"parf car, premium ad car, hybrid cars",0,1380.0,110.0,1498.0,1.0,17920.0,60109,49384.0,127988.0
mini,mini-one,2018.0,28-nov-2018,hatchback,"parf car, premium ad car",0,1225.0,75.0,1499.0,3.0,16930.0,30209,25306.0,83888.0
daihatsu,daihatsu-terios,2008.0,12-jan-2009,suv,"coe car, low mileage car",0,1200.0,77.0,1495.0,4.0,11740.0,26047,11925.0,53800.0
honda,honda-hr-v,2016.0,11-oct-2016,suv,parf car,0,1185.0,96.0,1496.0,2.0,15990.0,47020,20691.0,45300.0
honda,honda-freed,2021.0,16-jun-2022,mpv,"parf car, premium ad car",0,1360.0,95.0,1496.0,1.0,17440.0,73801,78774.0,152800.0
mercedes-benz,mercedes-benz-glc300,2022.0,08-mar-2023,suv,"parf car, hybrid cars",0,1730.0,200.0,1991.0,1.0,27550.0,105524,140813.0,273000.0
bmw,bmw-325i,2008.0,24-oct-2008,sports car,"coe car, consignment car, low mileage car",0,1525.0,160.0,2497.0,3.0,14330.0,32279,14079.0,62500.0
nissan,nissan-qashqai,2016.0,04-may-2016,suv,"parf car, premium ad car",0,1285.0,85.0,1197.0,2.0,11330.0,47300,15578.0,25888.0
volkswagen,volkswagen-jetta,2010.0,04-apr-2011,mid-sized sedan,"coe car, premium ad car",0,1377.0,118.0,1390.0,3.0,12690.0,21142,7264.0,21800.0
honda,honda-shuttle,2019.0,16-oct-2020,stationwagon,"parf car, sgcarmart warranty cars",0,1130.0,95.0,1496.0,1.0,14300.0,36534,32379.0,95800.0
bmw,bmw-mild,2021.0,24-jul-2023,suv,"parf car, hybrid cars",0,1810.0,182.0,1998.0,1.0,28920.0,123000,158251.0,298800.0
mitsubishi,mitsubishi-canter,2011.0,29-may-2012,truck,"coe car, premium ad car",1,1680.0,19.0,2977.0,1.0,8650.0,49633,39489.0,68800.0
mercedes-benz,mercedes-benz-cla180,2021.0,21-jun-2021,luxury sedan,"opc car, parf car, low mileage car",0,1410.0,96.0,1332.0,1.0,19430.0,24001,45870.0,152900.0
honda,honda-e,2016.0,21-jul-2016,mpv,"parf car, premium ad car",0,1769.0,129.0,2356.0,1.0,17630.0,57390,28297.0,49800.0
mini,mini-cooper,2017.0,01-dec-2017,sports car,parf car,0,1535.0,141.0,1998.0,4.0,19660.0,52000,46856.0,87800.0
volkswagen,volkswagen-polo,2015.0,10-may-2016,hatchback,"parf car, premium ad car",0,1139.0,66.0,1197.0,4.0,14380.0,43416,11929.0,29800.0
nissan,nissan-note,2021.0,16-jun-2022,hatchback,"parf car, premium ad car, hybrid cars",0,1220.0,85.0,1198.0,2.0,13600.0,68699,59005.0,110800.0
opel,opel-combo,2023.0,20-may-2024,van,"almost new car, premium ad car, electric cars",0,1760.0,12.0,1543.0,2.0,9950.0,48963,48628.0,98800.0
bmw,bmw-316i,2012.0,29-mar-2013,luxury sedan,"coe car, premium ad car",0,1405.0,100.0,1598.0,4.0,12990.0,74099,60903.0,106800.0
kia,kia-cerato,2009.0,29-dec-2009,mid-sized sedan,coe car,0,1251.0,92.0,1591.0,6.0,11340.0,31976,17714.0,62800.0
bmw,bmw-640i,2012.0,07-dec-2012,luxury sedan,"coe car, premium ad car, low mileage car",0,1825.0,235.0,2979.0,4.0,16980.0,107652,91165.0,143800.0
mercedes-benz,mercedes-benz-eqv,2021.0,18-mar-2022,mpv,"parf car, rare & exotic, electric cars",0,2660.0,150.0,1902.0,1.0,36930.0,93590,109092.0,310888.0
hyundai,hyundai-elantra,2012.0,29-feb-2012,mid-sized sedan,coe car,0,1267.0,95.0,1591.0,2.0,13670.0,25285,12871.0,34800.0
porsche,porsche-718,2019.0,19-dec-2019,sports car,"parf car, premium ad car, low mileage car",0,1405.0,269.0,2497.0,2.0,53690.0,40001,144904.0,369888.0
audi,audi-a4,2019.0,28-jun-2019,luxury sedan,"parf car, premium ad car",0,1480.0,140.0,1984.0,1.0,17110.0,47000,50300.0,102800.0
mitsubishi,mitsubishi-canter,2016.0,22-jul-2016,truck,premium ad car,1,2500.0,19.0,2998.0,2.0,16110.0,38400,8059.0,33800.0
toyota,toyota-altis,2014.0,30-apr-2014,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1205.0,90.0,1598.0,1.0,12270.0,39241,38252.0,59800.0
volkswagen,volkswagen-golf,2015.0,30-sep-2016,hatchback,parf car,0,1229.0,81.0,1197.0,3.0,15590.0,51506,16715.0,39800.0
mercedes-benz,mercedes-benz-gla180,2022.0,31-may-2023,suv,"parf car, low mileage car",0,1480.0,96.0,1332.0,1.0,20450.0,101001,111099.0,200300.0
mercedes-benz,mercedes-benz-amg,2022.0,18-aug-2023,suv,"parf car, almost new car, premium ad car, electric cars",0,2495.0,310.0,2291.0,1.0,25890.0,120889,155782.0,284800.0
bmw,bmw-730li,2018.0,29-apr-2019,luxury sedan,parf car,0,1720.0,190.0,1998.0,2.0,26250.0,48209,107729.0,189900.0
lexus,lexus-rx,2018.0,09-nov-2018,suv,"parf car, direct owner sale",0,1965.0,175.0,1998.0,1.0,23980.0,32311,65063.0,138500.0
daihatsu,daihatsu-copen,2007.0,22-jan-2009,sports car,coe car,1,840.0,47.0,659.0,6.0,12340.0,26047,11782.0,55800.0
volkswagen,volkswagen-golf,2014.0,22-apr-2015,hatchback,"parf car, direct owner sale",0,1249.0,90.0,1395.0,3.0,12750.0,67749,8703.0,12500.0
toyota,toyota-corolla,2022.0,23-dec-2022,mid-sized sedan,parf car,0,1315.0,96.0,1598.0,1.0,14880.0,88503,87650.0,135800.0
nissan,nissan-gtr,2008.0,10-may-2008,sports car,"coe car, premium ad car, low mileage car",0,1750.0,353.0,3799.0,6.0,71770.0,38712,15103.0,280000.0
golden dragon,golden dragon-xml6957,2010.0,06-dec-2010,bus/mini bus,"coe car, direct owner sale",1,9540.0,4.0,6693.0,3.0,24670.0,14268,3932.0,34000.0
mercedes-benz,mercedes-benz-amg,2019.0,20-jan-2020,suv,"parf car, low mileage car",0,2451.0,210.0,2925.0,1.0,80720.0,40101,157668.0,530000.0
volkswagen,volkswagen-golf,2016.0,24-nov-2017,hatchback,parf car,0,1229.0,81.0,1197.0,1.0,14130.0,47112,19964.0,51500.0
maserati,maserati-granturismo,2011.0,07-jan-2012,sports car,"coe car, premium ad car, low mileage car",0,1880.0,298.0,4244.0,5.0,21410.0,60586,44717.0,158000.0
audi,audi-a8,2018.0,19-nov-2018,luxury sedan,"parf car, premium ad car, hybrid cars",0,2020.0,250.0,2995.0,1.0,26450.0,32302,90442.0,167800.0
mercedes-benz,mercedes-benz-amg,2019.0,07-aug-2020,luxury sedan,parf car,0,1410.0,100.0,1332.0,2.0,22820.0,35001,59818.0,165800.0
audi,audi-e-tron,2022.0,22-jul-2022,suv,"parf car, premium ad car, electric cars",0,2445.0,287.0,1911.0,1.0,26160.0,110003,119700.0,230988.0
citroen,citroen-c4,2017.0,05-oct-2017,mpv,"parf car, premium ad car",0,1365.0,88.0,1560.0,3.0,14140.0,42902,23606.0,54000.0
hyundai,hyundai-elantra,2018.0,13-jul-2018,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,1.0,13650.0,25000,18834.0,61800.0
volkswagen,volkswagen-golf,2015.0,09-oct-2015,sports car,"parf car, premium ad car",0,1420.0,206.0,1984.0,3.0,31630.0,60789,34619.0,65800.0
honda,honda-shuttle,2019.0,09-feb-2021,stationwagon,"parf car, sgcarmart warranty cars",0,1130.0,95.0,1496.0,1.0,15130.0,42000,31782.0,102223.0
honda,honda-vezel,2016.0,22-jun-2016,suv,"parf car, premium ad car",0,1190.0,96.0,1496.0,2.0,14220.0,45504,14348.0,31800.0
mercedes-benz,mercedes-benz-amg,2018.0,01-aug-2018,suv,"parf car, premium ad car",0,1585.0,280.0,1991.0,2.0,30360.0,32551,60266.0,158800.0
sokon,sokon-ec35,2022.0,21-aug-2024,van,"almost new car, premium ad car, electric cars",0,1500.0,12.0,1840.0,1.0,8000.0,52957,42366.0,79800.0
mini,mini-cooper,2016.0,05-apr-2017,hatchback,"parf car, direct owner sale",0,1390.0,100.0,1499.0,2.0,19870.0,52600,34433.0,68800.0
audi,audi-s3,2017.0,26-dec-2017,sports car,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,1545.0,213.0,1984.0,6.0,27680.0,49012,53772.0,125800.0
mercedes-benz,mercedes-benz-amg,2019.0,16-oct-2019,suv,"parf car, rare & exotic, premium ad car, low mileage car",0,2560.0,430.0,3982.0,1.0,85620.0,34000,215883.0,588800.0
mini,mini-one,2019.0,18-jul-2019,hatchback,"parf car, premium ad car, low mileage car",0,1225.0,75.0,1499.0,2.0,16580.0,30009,27157.0,89800.0
hyundai,hyundai-accent,2018.0,09-jan-2019,mid-sized sedan,"parf car, premium ad car, low mileage car",0,1115.0,73.0,1368.0,2.0,11360.0,23568,16364.0,54388.0
tesla,tesla-model,2023.0,24-mar-2023,luxury sedan,"parf car, consignment car, electric cars",0,1760.0,208.0,2136.0,1.0,18090.0,105002,104020.0,175800.0
bmw,bmw-m2,2023.0,05-jan-2024,sports car,"parf car, almost new car",0,1725.0,338.0,2993.0,1.0,35770.0,118388,154710.0,395800.0
honda,honda-civic,2008.0,30-sep-2009,sports car,"coe car, low mileage car",1,1270.0,165.0,1998.0,2.0,24320.0,37941,20083.0,128800.0
toyota,toyota-altis,2022.0,29-jun-2022,mid-sized sedan,parf car,0,1315.0,96.0,1598.0,1.0,14590.0,74989,74241.0,125800.0
hyundai,hyundai-i30,2019.0,27-mar-2020,hatchback,"parf car, premium ad car",0,1240.0,95.0,1353.0,1.0,15300.0,31210,31651.0,97500.0
toyota,toyota-altis,2015.0,23-dec-2015,mid-sized sedan,"opc car, parf car, low mileage car",0,1205.0,90.0,1598.0,1.0,14320.0,39989,15544.0,29500.0
mazda,mazda-2,2016.0,17-may-2016,luxury sedan,"parf car, premium ad car",0,1454.0,121.0,1998.0,1.0,14080.0,51010,20549.0,36800.0
mercedes-benz,mercedes-benz-gla180,2019.0,20-jan-2020,suv,"parf car, premium ad car",0,1435.0,90.0,1595.0,1.0,17650.0,35320,42579.0,112800.0
honda,honda-vezel,2015.0,28-oct-2015,suv,parf car,0,1210.0,96.0,1496.0,1.0,13900.0,57498,16493.0,26888.0
toyota,toyota-altis,2015.0,23-dec-2015,mid-sized sedan,"parf car, premium ad car",0,1205.0,90.0,1598.0,1.0,15150.0,56989,17989.0,30700.0
toyota,toyota-harrier,2014.0,19-may-2015,suv,"parf car, premium ad car, sgcarmart warranty cars",0,1610.0,111.0,1986.0,1.0,27560.0,77600,16322.0,34600.0
porsche,porsche-panamera,2011.0,19-dec-2011,sports car,"coe car, premium ad car",0,1760.0,300.0,3605.0,3.0,16860.0,60586,43771.0,121800.0
